component,declared_constraint,source,detected_version,license,license_url,notice_required,commercial_use,verification,status,notes
fastapi,==0.141.1,PyPI,0.141.1,MIT,https://pypi.org/project/fastapi/0.141.1/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Exact shipped version pinned; human release review still required
uvicorn,==0.53.0,PyPI,0.53.0,BSD-3-Clause,https://pypi.org/project/uvicorn/0.53.0/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Exact shipped version pinned; human release review still required
python-multipart,==0.0.32,PyPI,0.0.32,Apache-2.0,https://pypi.org/project/python-multipart/0.0.32/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Exact shipped version pinned; human release review still required
pydantic,==2.13.5,PyPI,2.13.5,MIT,https://pypi.org/project/pydantic/2.13.5/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Exact shipped version pinned; human release review still required
requests,==2.34.2,PyPI,2.34.2,Apache-2.0,https://pypi.org/project/requests/2.34.2/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Exact shipped version pinned; human release review still required
psutil,==7.2.2,PyPI,7.2.2,BSD-3-Clause,https://pypi.org/project/psutil/7.2.2/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Exact shipped version pinned; human release review still required
python-dotenv,==1.2.3,PyPI,1.2.3,BSD-3-Clause,https://pypi.org/project/python-dotenv/1.2.3/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Exact shipped version pinned; human release review still required
pdfplumber,>=0.11.0,PyPI,[OPTIONAL_RESOLVE],MIT,https://pypi.org/project/pdfplumber/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; exact shipped version must be captured in feature-specific SBOM
pytesseract,>=0.3.10,PyPI,[OPTIONAL_RESOLVE],Apache-2.0,https://pypi.org/project/pytesseract/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; also requires external Tesseract software review
pdf2image,>=1.17.0,PyPI,[OPTIONAL_RESOLVE],MIT,https://pypi.org/project/pdf2image/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; external Poppler package review required
faster-whisper,>=1.0.0,PyPI,[OPTIONAL_RESOLVE],MIT,https://pypi.org/project/faster-whisper/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; model and CTranslate2 provenance require separate review
Pillow,>=10.0.0,PyPI,[OPTIONAL_RESOLVE],MIT-CMU,https://pypi.org/project/Pillow/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; exact shipped version must be captured
numpy,>=1.24.0,PyPI,[OPTIONAL_RESOLVE],BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0,https://pypi.org/project/numpy/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; multi-license notice review required
scikit-learn,>=1.3.0,PyPI,[OPTIONAL_RESOLVE],BSD-3-Clause,https://pypi.org/project/scikit-learn/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; exact shipped version must be captured
PyYAML,>=6.0,PyPI,[OPTIONAL_RESOLVE],MIT,https://pypi.org/project/PyYAML/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; exact shipped version must be captured
networkx,>=3.0,PyPI,[OPTIONAL_RESOLVE],BSD-3-Clause,https://pypi.org/project/networkx/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; current releases have newer Python requirements, so compatibility must be tested before packaging
rich,>=13.0.0,PyPI,[OPTIONAL_RESOLVE],MIT,https://pypi.org/project/rich/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; exact shipped version must be captured
vosk,>=0.3.45,PyPI,0.3.45,Apache-2.0,https://pypi.org/project/vosk/0.3.45/,REVIEW,PERMITTED_BY_LICENSE_PENDING_REVIEW,PYPI_METADATA_REVIEWED_2026-09-15,NOT_VERIFIED,Optional dependency; model files require separate provenance/license review
